Name,Ft,Inches,Total Inches,Source
1/2 Dead,,,0,
Brotha,,,0,
Bruce,,,0,
C-Note,,,0,
Cease,,,0,
E,,,0,
Fame,,,0,
iROCC Williams,,,0,
Italy,,,0,
Keke,,,0,
Louis,,,0,
Mac,,,0,
Malik,,,0,
Nation,,,0,
O,,,0,
P-Nut,,,0,
Pappie,,,0,
Ric,,,0,
Rob,,,0,
Ru,,,0,
T,,,0,
Troy,,,0,
Vicious,,,0,
Wyte,,,0,
Kim,4,9,57,VLAD TV
Chuckee,5,1,61,VLAD TV
Mama,5,3,63,VLAD TV
Uzi Vert,5,4,64,Celeb Heights
Debbie,5,4,64,Celeb Heights
Bow Wow,5,4,64,VLAD TV
Zane,5,4,64,VLAD TV
Wayne,5,5,65,Celeb Heights
Mouse,5,5,65,Celeb Heights
B,5,5,65,VLAD TV
Jon,5,5,65,VLAD TV
Boosie,5,6,66,Celeb Heights
Pump,5,7,67,Go Richest
Twist,5,7,67,VLAD TV
Fizz,5,7.25,67.25,Zimbio
Herb,5,9,69,Celeb Heights
Dicky,5,9.75,69.75,FamousBirthsDeaths
Bibby,5,10,70,Celeb Heights
Phat,5,10,70,Celeb Heights
Peep,5,10,70,Celeb Heights
Scrappy,5,10,70,Go Richest
Yachty,5,10.5,70.5,
Durk,5,11,71,Celeb Heights
Romeo,5,11,71,Celeb Heights
Flip,6,1,73,Celeb Heights
Reese,6,1.5,73.5,Celeb Heights
,,,,Celeb Heights
